first_author,effect_size_ID,study_ID,year_published,citation,journal,domain,taxa,common_name,scientific_name,scientific_name_OTL,development_stage,sex,includes_body_size,body_size,size unit,pop_source,temperature,BPA,BPA_unit,corrected_dose,time,time_day,trait,hierarchy,response,response_unit,mean_control,sd_control,se_control,n_control,mean_treat,sd_treat,se_treat,n_treat,mean_c_1,mean_t_1,lnRR,lnRR_direct,lnRR_variance,notes,Link
Little,11,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,28,20,ug l,20,3 weeks,21,Cardiovascular,Organ,Heart rate,bmp,385.7143,52.38095,18.519463,8,361.9048,25,8.838835,8,386.7143,362.9048,-0.063545637,-0.063545637,1.102160237,acclimated to 18 degrees,active HR
Little,12,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,28,500,ug l,500,3 weeks,21,Cardiovascular,Organ,Heart rate,bmp,385.7143,52.38095,18.519463,8,365.4762,28.57143,10.101525,8,386.7143,366.4762,-0.053752597,-0.053752597,1.165321192,acclimated to 18 degrees,active HR
Little,13,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,18,20,ug l,20,3 weeks,21,Cardiovascular,Organ,Heart rate,bmp,242.8571,23.80952,8.417938,8,217.8571,23.80952,8.417938,8,243.8571,218.8571,-0.108163393,-0.108163393,0.614367277,acclimated to 28 degrees,active HR
Little,14,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,18,500,ug l,500,3 weeks,21,Cardiovascular,Organ,Heart rate,bmp,242.8571,23.80952,8.417938,8,241.6667,9.52381,3.367175,8,243.8571,242.6667,-0.004893501,-0.004893501,0.337308788,acclimated to 28 degrees,active HR
Little,15,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,28,20,ug l,20,3 weeks,21,Cardiovascular,Organ,Heart rate,bmp,359.5238,30.95238,10.943319,8,297.619,17.85714,6.313453,8,360.5238,298.619,-0.188389461,-0.188389461,0.465652936,acclimated to 28 degrees,active HR
Little,16,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,28,500,ug l,500,3 weeks,21,Cardiovascular,Organ,Heart rate,bmp,359.5238,30.95238,10.943319,8,351.1905,36.90476,13.047804,8,360.5238,352.1905,-0.023385752,-0.023385752,0.815562305,acclimated to 28 degrees,active HR
Little,17,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,18,20,ug l,20,3 weeks,21,Locomotion,Organism,Ucrit,BL s,8.337079,0.8089888,0.2860207,8,7.505618,1.3707865,0.4846462,8,9.337079,8.505618,-0.093266576,-0.093266576,0.036376531,acclimated to 18 degrees,
Little,18,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,18,500,ug l,500,3 weeks,21,Locomotion,Organism,Ucrit,BL s,8.337079,0.8089888,0.2860207,8,6.921348,1.1685393,0.413141,8,9.337079,7.921348,-0.164432069,-0.164432069,0.030309145,acclimated to 18 degrees,
Little,19,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,28,20,ug l,20,3 weeks,21,Locomotion,Organism,Ucrit,BL s,9.191011,1.1910112,0.4210861,8,9.910112,2,0.7071068,8,10.191011,10.910112,0.068184008,0.068184008,0.06322805,acclimated to 18 degrees,
Little,20,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,28,500,ug l,500,3 weeks,21,Locomotion,Organism,Ucrit,BL s,9.191011,1.1910112,0.4210861,8,7.41573,1.5730337,0.5243446,8,10.191011,8.41573,-0.191403483,-0.191403483,0.054152131,acclimated to 18 degrees,
Little,21,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,18,20,ug l,20,3 weeks,21,Locomotion,Organism,Ucrit,BL s,6.224719,1.7977528,0.6356016,8,6.426966,1.7303371,0.6117665,8,7.224719,7.426966,0.02760909,0.02760909,0.106309478,acclimated to 28 degrees,
Little,22,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,18,500,ug l,500,3 weeks,21,Locomotion,Organism,Ucrit,BL s,6.224719,1.7977528,0.6356016,8,6,1.4606742,0.5164263,8,7.224719,7,-0.031598191,-0.031598191,0.09401711,acclimated to 28 degrees,
Little,23,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,28,20,ug l,20,3 weeks,21,Locomotion,Organism,Ucrit,BL s,8.853933,0.7865169,0.2780757,8,9.910112,1.1910112,0.4210861,8,9.853933,10.910112,0.101819401,0.101819401,0.024099445,acclimated to 28 degrees,
Little,24,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,28,500,ug l,500,3 weeks,21,Locomotion,Organism,Ucrit,BL s,8.853933,0.7865169,0.2780757,8,8.651685,0.8539326,0.3019108,8,9.853933,9.651685,-0.020738153,-0.020738153,0.017291191,acclimated to 28 degrees,
Little,25,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,18,20,ug l,20,3 weeks,21,Cardiovascular,Cellular,Cardiac SERCA activity,umol mg tissue min,2.593985,1.4661654,0.5183678,8,4.360902,2.8195489,0.9968611,8,3.593985,5.360902,0.39987063,0.39987063,0.260131799,acclimated to 18 degrees,
Little,26,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,18,500,ug l,500,3 weeks,21,Cardiovascular,Cellular,Cardiac SERCA activity,umol mg tissue min,2.593985,1.4661654,0.5183678,8,1.428571,0.7894737,0.2791211,8,3.593985,2.428571,-0.391958596,-0.391958596,0.106845246,acclimated to 18 degrees,
Little,27,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,28,20,ug l,20,3 weeks,21,Cardiovascular,Cellular,Cardiac SERCA activity,umol mg tissue min,3.796992,2.1052632,0.7443229,8,6.842105,3.8721805,1.3690225,8,4.796992,7.842105,0.491518238,0.491518238,0.354487362,acclimated to 18 degrees,
Little,28,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,28,500,ug l,500,3 weeks,21,Cardiovascular,Cellular,Cardiac SERCA activity,umol mg tissue min,3.796992,2.1052632,0.7443229,8,1.616541,1.5413534,0.5449507,8,4.796992,2.616541,-0.606135838,-0.606135838,0.228990172,acclimated to 18 degrees,
Little,29,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,18,20,ug l,20,3 weeks,21,Cardiovascular,Cellular,Cardiac SERCA activity,umol mg tissue min,2.706767,2.2932331,0.8107803,8,4.924812,5.112782,1.8076414,8,3.706767,5.924812,0.468988888,0.468988888,0.728847487,acclimated to 28 degrees,
Little,30,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,18,500,ug l,500,3 weeks,21,Cardiovascular,Cellular,Cardiac SERCA activity,umol mg tissue min,2.706767,2.2932331,0.8107803,8,1.729323,1.3533835,0.4784933,8,3.706767,2.729323,-0.306106475,-0.306106475,0.261229226,acclimated to 28 degrees,
Little,31,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,28,20,ug l,20,3 weeks,21,Cardiovascular,Cellular,Cardiac SERCA activity,umol mg tissue min,3.458647,2.7443609,0.9702781,8,4.62406,1.9548872,0.691157,8,4.458647,5.62406,0.232208466,0.232208466,0.296087448,acclimated to 28 degrees,
Little,32,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,28,500,ug l,500,3 weeks,21,Cardiovascular,Cellular,Cardiac SERCA activity,umol mg tissue min,3.458647,2.7443609,0.9702781,8,3.195489,1.5413534,0.5449507,8,4.458647,4.195489,-0.060835456,-0.060835456,0.28193264,acclimated to 28 degrees,
Little,33,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,18,20,ug l,20,3 weeks,21,Locomotion,Cellular,Muscle SERCA activity,umol mg tissue min,3.5377358,1.745283,0.6170507,8,2.6415094,1.509434,0.5336655,8,4.5377358,3.6415094,-0.220029899,-0.220029899,0.162116855,acclimated to 18 degrees,
Little,34,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,18,500,ug l,500,3 weeks,21,Locomotion,Cellular,Muscle SERCA activity,umol mg tissue min,3.5377358,1.745283,0.6170507,8,2.6886792,2.0754717,0.7337901,8,4.5377358,3.6886792,-0.207159712,-0.207159712,0.229880912,acclimated to 18 degrees,
Little,35,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,28,20,ug l,20,3 weeks,21,Locomotion,Cellular,Muscle SERCA activity,umol mg tissue min,7.5,3.0188679,1.067331,8,4.4339623,2.9716981,1.0506539,8,8.5,5.4339623,-0.44739759,-0.44739759,0.337166414,acclimated to 18 degrees,
Little,36,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,28,500,ug l,500,3 weeks,21,Locomotion,Cellular,Muscle SERCA activity,umol mg tissue min,7.5,3.0188679,1.067331,8,3.1132075,1.509434,0.5336655,8,8.5,4.1132075,-0.725863026,-0.725863026,0.203263085,acclimated to 18 degrees,
Little,37,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,18,20,ug l,20,3 weeks,21,Locomotion,Cellular,Muscle SERCA activity,umol mg tissue min,0.5660377,3.0188679,1.067331,8,2.4528302,4.3867925,1.5509653,8,1.5660377,3.4528302,0.790645571,0.790645571,1.424111053,acclimated to 28 degrees,
Little,38,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,18,500,ug l,500,3 weeks,21,Locomotion,Cellular,Muscle SERCA activity,umol mg tissue min,0.5660377,3.0188679,1.067331,8,2.3584906,1.9811321,0.700436,8,1.5660377,3.3584906,0.762942975,0.762942975,0.873518727,acclimated to 28 degrees,
Little,39,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,28,20,ug l,20,3 weeks,21,Locomotion,Cellular,Muscle SERCA activity,umol mg tissue min,3.3962264,3.7264151,1.3174867,8,2.1698113,1.8867925,0.6670819,8,4.3962264,3.1698113,-0.327074477,-0.327074477,0.535218425,acclimated to 28 degrees,
Little,40,1,2015,,Environmental pollution,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Adult,Unknown,0,,,captive,28,500,ug l,500,3 weeks,21,Locomotion,Cellular,Muscle SERCA activity,umol mg tissue min,3.3962264,3.7264151,1.3174867,8,2.6415094,2.2641509,0.8004982,8,4.3962264,3.6415094,-0.188348271,-0.188348271,0.570802349,acclimated to 28 degrees,
Martínez,41,2,2019,Martínez et al (2019) - Morphological signatures of exposure to endocrine disrupting chemicals in zebrafish eleutheroembryos,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Embryo,NA,0,,,captive,28,0.44,uM,100,3 dpf,3,Survival,Organism,Survival,fold change,1,0.05,0.02236068,5,1,0,0,5,2,2,0,0,0.00025,,https://www.sciencedirect.com/science/article/pii/S0166445X19301754
Martínez,42,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Embryo,NA,0,,,captive,28,4.380393359,uM,1000,3 dpf,3,Survival,Organism,Survival,fold change,1,0.05,0.02236068,5,1,0,0,5,2,2,0,0,0.00025,,
Martínez,43,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Embryo,NA,0,,,captive,28,8.760786719,uM,2000,3 dpf,3,Survival,Organism,Survival,fold change,1,0.05,0.02236068,5,1,0,0,5,2,2,0,0,0.00025,,
Martínez,44,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Embryo,NA,0,,,captive,28,17.52157344,uM,4000,3 dpf,3,Survival,Organism,Survival,fold change,1,0.05,0.02236068,5,1,0,0,5,2,2,0,0,0.00025,,
Martínez,45,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Embryo,NA,0,,,captive,28,26.28236016,uM,6000,3 dpf,3,Survival,Organism,Survival,fold change,1,0.05,0.02236068,5,1,0,0,5,2,2,0,0,0.00025,,
Martínez,46,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Embryo,NA,0,,,captive,28,35.04314687,uM,8000,3 dpf,3,Survival,Organism,Survival,fold change,1,0.05,0.02236068,5,1,0,0,5,2,2,0,0,0.00025,,
Martínez,47,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Embryo,NA,0,,,captive,28,43.80393359,uM,10000,3 dpf,3,Survival,Organism,Survival,fold change,1,0.05,0.02236068,5,1,0,0,5,2,2,0,0,0.00025,,
Martínez,48,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Embryo,NA,0,,,captive,28,219,uM,50000,3 dpf,3,Survival,Organism,Survival,fold change,1,0.05,0.02236068,5,0,0,0,5,2,1,-0.693147181,-0.693147181,0.00025,,
Martínez,49,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Embryo,NA,0,,,captive,28,438,uM,100000,3 dpf,3,Survival,Organism,Survival,fold change,1,0.05,0.02236068,5,0,0,0,5,2,1,-0.693147181,-0.693147181,0.00025,,
Martínez,50,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,0.44,uM,100,5 dpf,5,Development,Organism,Hatching success,fold change,1,0,0,5,1,0,0,5,2,2,0,0,0,no variation,
Martínez,51,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,4.380393359,uM,1000,5 dpf,5,Development,Organism,Hatching success,fold change,1,0,0,5,1,0,0,5,2,2,0,0,0,no variation,
Martínez,52,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,8.760786719,uM,2000,5 dpf,5,Development,Organism,Hatching success,fold change,1,0,0,5,1,0,0,5,2,2,0,0,0,no variation,
Martínez,53,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,17.52157344,uM,4000,5 dpf,5,Development,Organism,Hatching success,fold change,1,0,0,5,1,0,0,5,2,2,0,0,0,no variation,
Martínez,54,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,26.28236016,uM,6000,5 dpf,5,Development,Organism,Hatching success,fold change,1,0,0,5,1,0,0,5,2,2,0,0,0,no variation,
Martínez,55,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,35.04314687,uM,8000,5 dpf,5,Development,Organism,Hatching success,fold change,1,0,0,5,0.92,0.04,0.017888544,5,2,1.92,-0.040821995,-0.040821995,0.000166667,,
Martínez,56,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,43.80393359,uM,10000,5 dpf,5,Development,Organism,Hatching success,fold change,1,0,0,5,0.82,0.15,0.067082039,5,2,1.82,-0.094310679,-0.094310679,0.002472527,,
Martínez,57,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,219,uM,50000,5 dpf,5,Development,Organism,Hatching success,fold change,1,0,0,5,0,0,0,5,2,1,-0.693147181,-0.693147181,0,no variation,
Martínez,58,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,438,uM,100000,5 dpf,5,Development,Organism,Hatching success,fold change,1,0,0,5,0,0,0,5,2,1,-0.693147181,-0.693147181,0,no variation,
Martínez,59,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,0.44,uM,100,5 dpf,5,Abnormality & damage,Organ,Swim bladder area,fold change,1,0.04,0.017888544,5,0.98,0.06,0.026832816,5,2,1.98,-0.010050336,-0.010050336,0.000523636,,
Martínez,60,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,4.380393359,uM,1000,5 dpf,5,Abnormality & damage,Organ,Swim bladder area,fold change,1,0.04,0.017888544,5,1,0.05,0.02236068,5,2,2,0,0,0.00041,,
Martínez,61,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,8.760786719,uM,2000,5 dpf,5,Abnormality & damage,Organ,Swim bladder area,fold change,1,0.04,0.017888544,5,0.96,0.06,0.026832816,5,2,1.96,-0.020202707,-0.020202707,0.000527347,,
Martínez,62,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,17.52157344,uM,4000,5 dpf,5,Abnormality & damage,Organ,Swim bladder area,fold change,1,0.04,0.017888544,5,0.9,0.11,0.049193496,5,2,1.9,-0.051293294,-0.051293294,0.001433684,,
Martínez,63,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,26.28236016,uM,6000,5 dpf,5,Abnormality & damage,Organ,Swim bladder area,fold change,1,0.04,0.017888544,5,0.37,0.18,0.080498447,5,2,1.37,-0.378336441,-0.378336441,0.004889927,,
Martínez,64,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,35.04314687,uM,8000,5 dpf,5,Abnormality & damage,Organ,Swim bladder area,fold change,1,0.04,0.017888544,5,0.02,0.04,0.017888544,5,2,1.02,-0.673344553,-0.673344553,0.000473725,,
Martínez,65,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,43.80393359,uM,10000,5 dpf,5,Abnormality & damage,Organ,Swim bladder area,fold change,1,0.04,0.017888544,5,0,0,0,5,2,1,-0.693147181,-0.693147181,0.00016,,
Martínez,66,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,219,uM,50000,5 dpf,5,Abnormality & damage,Organ,Swim bladder area,fold change,1,0.04,0.017888544,5,0,0,0,5,2,1,-0.693147181,-0.693147181,0.00016,,
Martínez,67,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,438,uM,100000,5 dpf,5,Abnormality & damage,Organ,Swim bladder area,fold change,1,0.04,0.017888544,5,0,0,0,5,2,1,-0.693147181,-0.693147181,0.00016,,
Martínez,68,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,0.44,uM,100,5 dpf,5,Abnormality & damage,Organism,Deformity,number,0,0,0,5,0,0,0,5,1,1,0,0,0,no variation,
Martínez,69,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,4.380393359,uM,1000,5 dpf,5,Abnormality & damage,Organism,Deformity,number,0,0,0,5,2,0,0,5,1,3,1.098612289,-1.098612289,0,no variation,
Martínez,70,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,8.760786719,uM,2000,5 dpf,5,Abnormality & damage,Organism,Deformity,number,0,0,0,5,1,0,0,5,1,2,0.693147181,-0.693147181,0,no variation,
Martínez,71,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,17.52157344,uM,4000,5 dpf,5,Abnormality & damage,Organism,Deformity,number,0,0,0,5,4,0,0,5,1,5,1.609437912,-1.609437912,0,no variation,
Martínez,72,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,26.28236016,uM,6000,5 dpf,5,Abnormality & damage,Organism,Deformity,number,0,0,0,5,2,0,0,5,1,3,1.098612289,-1.098612289,0,no variation,
Martínez,73,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,35.04314687,uM,8000,5 dpf,5,Abnormality & damage,Organism,Deformity,number,0,0,0,5,8,0,0,5,1,9,2.197224577,-2.197224577,0,no variation,
Martínez,74,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,0.44,uM,100,5 dpf,5,Growth,Organism,Body size,mm,3.56,0.19,0.084970583,5,3.51,0.19,0.084970583,5,4.56,4.51,-0.01102547,-0.01102547,0.00318422,,
Martínez,75,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,4.380393359,uM,1000,5 dpf,5,Growth,Organism,Body size,mm,3.56,0.19,0.084970583,5,3.55,0.16,0.071554175,5,4.56,4.55,-0.002195391,-0.002195391,0.002708608,,
Martínez,76,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,8.760786719,uM,2000,5 dpf,5,Growth,Organism,Body size,mm,3.56,0.19,0.084970583,5,3.5,0.15,0.067082039,5,4.56,4.5,-0.013245227,-0.013245227,0.002583333,,
Martínez,77,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,17.52157344,uM,4000,5 dpf,5,Growth,Organism,Body size,mm,3.56,0.19,0.084970583,5,3.44,0.14,0.062609903,5,4.56,4.44,-0.026668247,-0.026668247,0.002466216,,
Martínez,78,2,2019,,Aquatic toxicology,Vertebrate,Fish,zebrafish,Danio rerio,Danio rerio,Larvae,NA,0,,,captive,28,26.28236016,uM,6000,5 dpf,5,Growth,Organism,Body size,mm,3.56,0.19,0.084970583,5,3.46,0.13,0.058137767,5,4.56,4.46,-0.022173857,-0.022173857,0.002341181,,
