paper_ID,country,area,taxa,common_name,scientific_name,trophic_level,food_type,environment,tissue,data,BPA,unit,DL,censored,BPA_zero,estimated_BPA,estimated_BPA_2,sample_size,citation,link
1,China,Xiangjiang River,Fish,White amur bream,Parabramis_pekinensis,Primary consumer,Herbivore,freshwater,gonad,min,0,ng g,0.12,FALSE,0,0,0,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,White amur bream,Parabramis_pekinensis,Primary consumer,Herbivore,freshwater,gonad,max,1379,ng g,0.12,FALSE,1379,1379,1379,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,muscle,mean,1.15,ng g,0.09,FALSE,1.15,1.15,1.15,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,muscle,min,0.58,ng g,0.09,FALSE,0.58,0.58,0.58,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,muscle,max,1.96,ng g,0.09,FALSE,1.96,1.96,1.96,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,liver,mean,13,ng g,0.03,FALSE,13,13,13,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,liver,min,0,ng g,0.03,FALSE,0,0,0,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,liver,max,61.9,ng g,0.03,FALSE,61.9,61.9,61.9,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,gills,mean,9.55,ng g,0.23,FALSE,9.55,9.55,9.55,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,gills,min,0,ng g,0.23,FALSE,0,0,0,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,gills,max,29,ng g,0.23,FALSE,29,29,29,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,gonad,mean,12.5,ng g,0.12,FALSE,12.5,12.5,12.5,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,gonad,min,0,ng g,0.12,FALSE,0,0,0,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,gonad,max,33.4,ng g,0.12,FALSE,33.4,33.4,33.4,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Chinese perch,Siniperca_chuatsi,Teritiary consumer,Carnivore,freshwater,muscle,mean,2.03,ng g,0.09,FALSE,2.03,2.03,2.03,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Chinese perch,Siniperca_chuatsi,Teritiary consumer,Carnivore,freshwater,muscle,min,1.24,ng g,0.09,FALSE,1.24,1.24,1.24,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Chinese perch,Siniperca_chuatsi,Teritiary consumer,Carnivore,freshwater,muscle,max,4.07,ng g,0.09,FALSE,4.07,4.07,4.07,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Chinese perch,Siniperca_chuatsi,Teritiary consumer,Carnivore,freshwater,liver,mean,5.52,ng g,0.03,FALSE,5.52,5.52,5.52,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Chinese perch,Siniperca_chuatsi,Teritiary consumer,Carnivore,freshwater,liver,min,0,ng g,0.03,FALSE,0,0,0,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Chinese perch,Siniperca_chuatsi,Teritiary consumer,Carnivore,freshwater,liver,max,24.9,ng g,0.03,FALSE,24.9,24.9,24.9,21,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Chinese perch,Siniperca_chuatsi,Teritiary consumer,Carnivore,freshwater,gills,mean,5.74,ng g,0.23,FALSE,5.74,5.74,5.74,13,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Chinese perch,Siniperca_chuatsi,Teritiary consumer,Carnivore,freshwater,gills,min,0,ng g,0.23,FALSE,0,0,0,13,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Chinese perch,Siniperca_chuatsi,Teritiary consumer,Carnivore,freshwater,gills,max,20,ng g,0.23,FALSE,20,20,20,13,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Chinese perch,Siniperca_chuatsi,Teritiary consumer,Carnivore,freshwater,gonad,mean,5.93,ng g,0.12,FALSE,5.93,5.93,5.93,13,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Chinese perch,Siniperca_chuatsi,Teritiary consumer,Carnivore,freshwater,gonad,min,0,ng g,0.12,FALSE,0,0,0,13,Zhou et al (2019),
1,China,Xiangjiang River,Fish,Chinese perch,Siniperca_chuatsi,Teritiary consumer,Carnivore,freshwater,gonad,max,20.7,ng g,0.12,FALSE,20.7,20.7,20.7,13,Zhou et al (2019),
2,China,Pearl River Estuary (China),Fish,Flathead grey mullet,Mugil_cephalus,Primary consumer,Detritivore,marine,muscle,mean,0.97,ng g,0.14,FALSE,0.97,0.97,0.97,6,Diao et al (2017),https://www.sciencedirect.com/science/article/pii/S0048969717301869
2,China,Pearl River Estuary (China),Fish,Flathead grey mullet,Mugil_cephalus,Primary consumer,Detritivore,marine,muscle,mean,0.19,ng g,0.14,FALSE,0.19,0.19,0.19,6,Diao et al (2017),
2,China,Pearl River Estuary (China),Fish,Flathead grey mullet,Mugil_cephalus,Primary consumer,Detritivore,marine,muscle,mean,1.27,ng g,0.14,FALSE,1.27,1.27,1.27,6,Diao et al (2017),
2,China,Pearl River Estuary (China),Fish,Flathead grey mullet,Mugil_cephalus,Primary consumer,Detritivore,marine,muscle,mean,0.68,ng g,0.14,FALSE,0.68,0.68,0.68,6,Diao et al (2017),
2,China,Pearl River Estuary (China),Fish,White amur bream,Parabramis_pekinensis,Primary consumer,Herbivore,freshwater,muscle,mean,0.76,ng g,0.14,FALSE,0.76,0.76,0.76,3,Diao et al (2017),
2,China,Pearl River Estuary (China),Fish,White amur bream,Parabramis_pekinensis,Primary consumer,Herbivore,freshwater,muscle,mean,4.51,ng g,0.14,FALSE,4.51,4.51,4.51,3,Diao et al (2017),
2,China,Pearl River Estuary (China),Fish,White amur bream,Parabramis_pekinensis,Primary consumer,Herbivore,freshwater,muscle,mean,0.43,ng g,0.14,FALSE,0.43,0.43,0.43,3,Diao et al (2017),
2,China,Pearl River Estuary (China),Fish,White amur bream,Parabramis_pekinensis,Primary consumer,Herbivore,freshwater,muscle,mean,1.13,ng g,0.14,FALSE,1.13,1.13,1.13,3,Diao et al (2017),
2,China,Pearl River Estuary (China),Crustaceans,Chinese white shrimp,Penaeus_chinensis,Primary consumer,Detritivore,marine,muscle,mean,1.18,ng g,0.14,FALSE,1.18,1.18,1.18,4,Diao et al (2017),
2,China,Pearl River Estuary (China),Crustaceans,Chinese white shrimp,Penaeus_chinensis,Primary consumer,Detritivore,marine,muscle,mean,3.19,ng g,0.14,FALSE,3.19,3.19,3.19,4,Diao et al (2017),
2,China,Pearl River Estuary (China),Crustaceans,Chinese white shrimp,Penaeus_chinensis,Primary consumer,Detritivore,marine,muscle,mean,0.16,ng g,0.14,FALSE,0.16,0.16,0.16,4,Diao et al (2017),
2,China,Pearl River Estuary (China),Crustaceans,Chinese white shrimp,Penaeus_chinensis,Primary consumer,Detritivore,marine,muscle,mean,4.36,ng g,0.14,FALSE,4.36,4.36,4.36,4,Diao et al (2017),
2,China,Pearl River Estuary (China),Molluscs,Asian Clam,Corbicula_fluminea,Primary consumer,Planktivore,marine,muscle,mean,0.49,ng g,0.14,FALSE,0.49,0.49,0.49,6,Diao et al (2017),
2,China,Pearl River Estuary (China),Molluscs,Asian Clam,Corbicula_fluminea,Primary consumer,Planktivore,marine,muscle,mean,1.07,ng g,0.14,FALSE,1.07,1.07,1.07,6,Diao et al (2017),
2,China,Pearl River Estuary (China),Molluscs,Asian Clam,Corbicula_fluminea,Primary consumer,Planktivore,marine,muscle,mean,0.5,ng g,0.14,FALSE,0.5,0.5,0.5,6,Diao et al (2017),
2,China,Pearl River Estuary (China),Molluscs,Asian Clam,Corbicula_fluminea,Primary consumer,Planktivore,marine,muscle,mean,1.34,ng g,0.14,FALSE,1.34,1.34,1.34,6,Diao et al (2017),
3,China,Loma Lake,Fish,Grass carp,Ctenopharyngodon_idella,Primary consumer,Herbivore,freshwater,muscle,mean,7.56,ng g,0.2,FALSE,7.56,7.56,7.56,,Liu et al (2017),https://www.sciencedirect.com/science/article/pii/S0147651317301239
3,China,Loma Lake,Fish,Japanese sea bass,Lateolabrax_japonicus,Secondary consumer,Carnivore,marine,muscle,mean,6.9,ng g,0.2,FALSE,6.9,6.9,6.9,,Liu et al (2017),
4,Italy,northern coast of Sicily ,Fish,Red mullet,Mullus_barbatus,Secondary consumer,Carnivore,marine,muscle,min,46.7,ng g,0.1,FALSE,46.7,46.7,46.7,12,Errico et al (2017),https://www.sciencedirect.com/science/article/pii/S0025326X17303715
4,Italy,northern coast of Sicily ,Fish,Red mullet,Mullus_barbatus,Secondary consumer,Carnivore,marine,muscle,max,58.9,ng g,0.1,FALSE,58.9,58.9,58.9,12,Errico et al (2017),
4,Italy,northern coast of Sicily ,Fish,Red mullet,Mullus_barbatus,Secondary consumer,Carnivore,marine,liver,min,35,ng g,0.1,FALSE,35,35,35,12,Errico et al (2017),
4,Italy,northern coast of Sicily ,Fish,Red mullet,Mullus_barbatus,Secondary consumer,Carnivore,marine,liver,max,77.6,ng g,0.1,FALSE,77.6,77.6,77.6,12,Errico et al (2017),
5,China,Panlong river,Fish,Crucian carp ,Carassius_auratus,Secondary consumer,Omnivore,freshwater,liver,mean,30,ng g,0.3,FALSE,30,30,30,,Wang et al (2016),https://www.sciencedirect.com/science/article/pii/S0147651316300483
5,China,Panlong river,Fish,Crucian carp ,Carassius_auratus,Secondary consumer,Omnivore,freshwater,gills,mean,18,ng g,0.3,FALSE,18,18,18,,Wang et al (2016),
5,China,Panlong river,Fish,Crucian carp ,Carassius_auratus,Secondary consumer,Omnivore,freshwater,muscle,mean,12,ng g,0.3,FALSE,12,12,12,,Wang et al (2016),
5,China,Panlong river,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,liver,mean,112,ng g,0.3,FALSE,112,112,112,,Wang et al (2016),
5,China,Panlong river,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,gills,mean,25,ng g,0.3,FALSE,25,25,25,,Wang et al (2016),
5,China,Panlong river,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,muscle,mean,21,ng g,0.3,FALSE,21,21,21,,Wang et al (2016),
5,China,Panlong river,Fish,Silvery minnow,Anabarilius_alburnops,Secondary consumer,Omnivore,freshwater,whole body,mean,55,ng g,0.3,FALSE,55,55,55,,Wang et al (2016),
6,Spain,Gernika,Fish,Thicklip grey mullets,Chelon_labrosus,Secondary consumer,Omnivore,marine,liver,mean,71.33,ng g,35,FALSE,71.33,71.33,71.33,3,Ros et al (2016),https://link.springer.com/article/10.1007%2Fs00216-016-9697-3
6,Spain,Gernika,Fish,Thicklip grey mullets,Chelon_labrosus,Secondary consumer,Omnivore,marine,muscle,mean,24,ng g,9,FALSE,24,24,24,3,Ros et al (2016),
6,Spain,Gernika,Fish,Thicklip grey mullets,Chelon_labrosus,Secondary consumer,Omnivore,marine,brain,mean,40,ng g,23,FALSE,40,40,40,3,Ros et al (2016),
7,China,Yundang Lagoon,Molluscs,Short-necked clam,Ruditapes_philippinarum,Primary consumer,Planktivore,marine,muscle,mean,181.32,ng g,1.44,FALSE,181.32,181.32,181.32,,Zhang et al (2011),https://link.springer.com/article/10.1007%2Fs00244-010-9588-0
7,China,Yundang Lagoon,Fish,Yellow fin seabream,Sparus_latus,Secondary consumer,Omnivore,marine,muscle,mean,93.02,ng g,1.44,FALSE,93.02,93.02,93.02,,Zhang et al (2011),
7,China,Yundang Lagoon,Fish,Black seabream,Acanthopagrus_schlegelii,Secondary consumer,Carnivore,marine,muscle,mean,177.35,ng g,1.44,FALSE,177.35,177.35,177.35,,Zhang et al (2011),
7,China,Yundang Lagoon,Fish,Tilapia,,Secondary consumer,Omnivore,marine,muscle,mean,54.15,ng g,1.44,FALSE,54.15,54.15,54.15,,Zhang et al (2011),
8,China,Pearl River Delta,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,bile,mean,70,ng g,4.3,FALSE,70,70,70,8,Yang et al (2014),https://www.sciencedirect.com/science/article/pii/S0045653514001143
8,China,Pearl River Delta,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,bile,mean,148,ng g,4.3,FALSE,148,148,148,8,Yang et al (2014),
8,China,Pearl River Delta,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,bile,mean,78,ng g,4.3,FALSE,78,78,78,8,Yang et al (2014),
8,China,Pearl River Delta,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,bile,mean,179,ng g,4.3,FALSE,179,179,179,8,Yang et al (2014),
8,China,Pearl River Delta,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,bile,mean,1020,ng g,4.3,FALSE,1020,1020,1020,8,Yang et al (2014),
8,China,Pearl River Delta,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,bile,mean,382,ng g,4.3,FALSE,382,382,382,8,Yang et al (2014),
8,China,Pearl River Delta,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,bile,mean,300,ng g,4.3,FALSE,300,300,300,8,Yang et al (2014),
8,China,Pearl River Delta,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,bile,mean,597,ng g,4.3,FALSE,597,597,597,8,Yang et al (2014),
8,China,Pearl River Delta,Plankton,algae,,Primary producer,Autotroph,freshwater,whole sample,mean,72,ng g,1.7,FALSE,72,72,72,6,Yang et al (2014),
8,China,Pearl River Delta,Plankton,algae,,Primary producer,Autotroph,freshwater,whole sample,mean,94,ng g,1.7,FALSE,94,94,94,6,Yang et al (2014),
8,China,Pearl River Delta,Plankton,algae,,Primary producer,Autotroph,freshwater,whole sample,mean,94,ng g,1.7,FALSE,94,94,94,6,Yang et al (2014),
8,China,Pearl River Delta,Plankton,algae,,Primary producer,Autotroph,freshwater,whole sample,mean,16,ng g,1.7,FALSE,16,16,16,6,Yang et al (2014),
8,China,Pearl River Delta,Plankton,algae,,Primary producer,Autotroph,freshwater,whole sample,mean,26,ng g,1.7,FALSE,26,26,26,6,Yang et al (2014),
8,China,Pearl River Delta,Plankton,algae,,Primary producer,Autotroph,freshwater,whole sample,mean,72,ng g,1.7,FALSE,72,72,72,6,Yang et al (2014),
9,France,Rhone River ,Fish,barbel,Barbus_barbus,Secondary consumer,Carnivore,freshwater,muscle,mean,3.2,ng g,1,FALSE,3.2,3.2,3.2,8,Miege et al (2012),https://link.springer.com/article/10.1007%2Fs00216-012-6187-0
9,France,Rhone River ,Fish,common bream,Abramis_brama,Secondary consumer,Omnivore,freshwater,muscle,mean,19.8,ng g,1,FALSE,19.8,19.8,19.8,9,Miege et al (2012),
9,France,Rhone River ,Fish,white bream,Blicca_bjoerkna,Secondary consumer,Carnivore,freshwater,muscle,mean,9.6,ng g,1,FALSE,9.6,9.6,9.6,5,Miege et al (2012),
9,France,Rhone River ,Fish,chub,Squalius_cephalus,Teritiary consumer,Carnivore,freshwater,muscle,mean,18.6,ng g,1,FALSE,18.6,18.6,18.6,10,Miege et al (2012),
10,Iran,Anzali Wetland,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Carnivore,freshwater,muscle,mean,1580,ng g,0.05,FALSE,1580,1580,1580,30,Mortazavi et al (2013),https://link.springer.com/article/10.1007/s00128-013-0964-0
11,Iran,Anzali Wetland,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Carnivore,freshwater,muscle,min,60,ng g,0.05,FALSE,60,60,60,30,Mortazavi et al (2013),
12,Iran,Anzali Wetland,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Carnivore,freshwater,muscle,max,5870,ng g,0.05,FALSE,5870,5870,5870,30,Mortazavi et al (2013),
13,Iran,Anzali Wetland,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Carnivore,freshwater,liver,mean,2150,ng g,0.05,FALSE,2150,2150,2150,30,Mortazavi et al (2013),
14,Iran,Anzali Wetland,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Carnivore,freshwater,liver,min,290,ng g,0.05,FALSE,290,290,290,30,Mortazavi et al (2013),
15,Iran,Anzali Wetland,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Carnivore,freshwater,liver,max,2950,ng g,0.05,FALSE,2950,2950,2950,30,Mortazavi et al (2013),
11,Netherland,Dutch water system,Fish,common bream,Abramis_brama,Secondary consumer,Omnivore,freshwater,muscle,mean,2.66,ng g,11,TRUE,0,1.33,1.880904038,30,Belfroid et al (2002),https://www.sciencedirect.com/science/article/pii/S0045653502001571
11,Netherland,Dutch water system,Fish,European flounder,Platichthys_flesus,Secondary consumer,Carnivore,marine,liver,mean,21.25,ng g,11,FALSE,21.25,21.25,21.25,10,Belfroid et al (2002),
11,Netherland,Dutch water system,Fish,European flounder,Platichthys_flesus,Secondary consumer,Carnivore,marine,muscle,mean,7.33,ng g,11,TRUE,0,3.665,5.183092706,30,Belfroid et al (2002),
11,Netherland,Dutch water system,Molluscs,blue mussel,Mytilus_edulis,Primary consumer,Planktivore,marine,muscle,mean,10,ng g,11,TRUE,0,5,7.071067812,,Belfroid et al (2002),
12,China,Dianchi Lake,Fish,Crucian carp ,Carassius_auratus,Secondary consumer,Omnivore,freshwater,muscle,mean,22.33,ng g,0.3,FALSE,22.33,22.33,22.33,37,Liu et al (2011),https://www.sciencedirect.com/science/article/pii/S0269749111002806
12,China,Dianchi Lake,Fish,Crucian carp ,Carassius_auratus,Secondary consumer,Omnivore,freshwater,gills,mean,24,ng g,0.3,FALSE,24,24,24,37,Liu et al (2011),
12,China,Dianchi Lake,Fish,Crucian carp ,Carassius_auratus,Secondary consumer,Omnivore,freshwater,liver,mean,27,ng g,0.3,FALSE,27,27,27,37,Liu et al (2011),
12,China,Dianchi Lake,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,muscle,mean,29.33,ng g,0.3,FALSE,29.33,29.33,29.33,13,Liu et al (2011),
12,China,Dianchi Lake,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,gills,mean,35,ng g,0.3,FALSE,35,35,35,13,Liu et al (2011),
12,China,Dianchi Lake,Fish,Common carp,Cyprinus_carpio,Secondary consumer,Omnivore,freshwater,liver,mean,100,ng g,0.3,FALSE,100,100,100,13,Liu et al (2011),
12,China,Dianchi Lake,Fish,Silvery minnow,Anabarilius_alburnops,Secondary consumer,Omnivore,freshwater,whole body,mean,42.5,ng g,0.3,FALSE,42.5,42.5,42.5,40,Liu et al (2011),
13,Australia,Shoalhaven,Fish,Silver perch,Bidyanus_bidyanus,Secondary consumer,Omnivore,freshwater,muscle,min,0.5,ng g,0.5,TRUE,0,0.25,0.353553391,15,Terechovs et al (2019),https://www.sciencedirect.com/science/article/pii/S0048969718334065
13,Australia,Shoalhaven,Fish,Silver perch,Bidyanus_bidyanus,Secondary consumer,Omnivore,freshwater,muscle,max,6.22,ng g,0.5,FALSE,6.22,6.22,6.22,15,Terechovs et al (2019),
13,Australia,Shoalhaven,Fish,Silver perch,Bidyanus_bidyanus,Secondary consumer,Omnivore,freshwater,liver,min,0.5,ng g,0.5,TRUE,0,0.25,0.353553391,15,Terechovs et al (2019),
13,Australia,Shoalhaven,Fish,Silver perch,Bidyanus_bidyanus,Secondary consumer,Omnivore,freshwater,liver,max,9.65,ng g,0.5,FALSE,9.65,9.65,9.65,15,Terechovs et al (2019),
14,Malaysia,Klang River estuary,Fish,Sea catfish,Arius_thalassinus,Secondary consumer,Carnivore,marine,muscle,mean,2.54,ng g,0.29,FALSE,2.54,2.54,2.54,20,Omar et al (2019),https://www.sciencedirect.com/science/article/pii/S026974911834870X
14,Malaysia,Klang River estuary,Fish,Sea catfish,Arius_thalassinus,Secondary consumer,Carnivore,marine,muscle,min,0.92,ng g,0.29,FALSE,0.92,0.92,0.92,20,Omar et al (2019),
14,Malaysia,Klang River estuary,Fish,Sea catfish,Arius_thalassinus,Secondary consumer,Carnivore,marine,muscle,max,5.79,ng g,0.29,FALSE,5.79,5.79,5.79,20,Omar et al (2019),
14,Malaysia,Klang River estuary,Fish,croaker ,Pennahia_anea,Secondary consumer,Carnivore,marine,muscle,mean,1.8,ng g,0.29,FALSE,1.8,1.8,1.8,20,Omar et al (2019),
14,Malaysia,Klang River estuary,Fish,croaker ,Pennahia_anea,Secondary consumer,Carnivore,marine,muscle,min,1.42,ng g,0.29,FALSE,1.42,1.42,1.42,20,Omar et al (2019),
14,Malaysia,Klang River estuary,Fish,croaker ,Pennahia_anea,Secondary consumer,Carnivore,marine,muscle,max,2.53,ng g,0.29,FALSE,2.53,2.53,2.53,20,Omar et al (2019),
14,Malaysia,Klang River estuary,Molluscs,Nertia,Nerita_lineata,Primary consumer,Herbivore,marine,muscle,mean,2.28,ng g,0.29,FALSE,2.28,2.28,2.28,30-40,Omar et al (2019),
14,Malaysia,Klang River estuary,Molluscs,Nertia,Nerita_lineata,Primary consumer,Herbivore,marine,muscle,min,1.17,ng g,0.29,FALSE,1.17,1.17,1.17,30-40,Omar et al (2019),
14,Malaysia,Klang River estuary,Molluscs,Nertia,Nerita_lineata,Primary consumer,Herbivore,marine,muscle,max,2.95,ng g,0.29,FALSE,2.95,2.95,2.95,30-40,Omar et al (2019),
15,China,Hun River,Fish,Crucian carp ,Carassius_auratus,Secondary consumer,Omnivore,freshwater,muscle,mean,12.5,ng g,0.1,FALSE,12.5,12.5,12.5,94,Zheng et al (2015),https://www.sciencedirect.com/science/article/pii/S004565351401234X
15,China,Hun River,Fish,Crucian carp ,Carassius_auratus,Secondary consumer,Omnivore,freshwater,muscle,mean,15.5,ng g,0.1,FALSE,15.5,15.5,15.5,71,Zheng et al (2015),
15,China,Hun River,Fish,Crucian carp ,Carassius_auratus,Secondary consumer,Omnivore,freshwater,muscle,mean,22.5,ng g,0.1,FALSE,22.5,22.5,22.5,54,Zheng et al (2015),
15,China,Hun River,Fish,Crucian carp ,Carassius_auratus,Secondary consumer,Omnivore,freshwater,muscle,mean,49,ng g,0.1,FALSE,49,49,49,69,Zheng et al (2015),
15,China,Hun River,Fish,Crucian carp ,Carassius_auratus,Secondary consumer,Omnivore,freshwater,muscle,mean,23.5,ng g,0.1,FALSE,23.5,23.5,23.5,46,Zheng et al (2015),
15,China,Hun River,Fish,Crucian carp ,Carassius_auratus,Secondary consumer,Omnivore,freshwater,muscle,mean,22.5,ng g,0.1,FALSE,22.5,22.5,22.5,46,Zheng et al (2015),
16,Singapore,,Crustaceans,tiger prawn,Penaeus_monodon,Primary consumer,Detritivore,marine,muscle,mean,13.3,ng g,1.35,FALSE,13.3,13.3,13.3,5,Basheer et al (2004),https://reader.elsevier.com/reader/sd/pii/S0025326X04001560?token=B8841EED30E4AC70FB7FC6E1C13616D5AAF0CFE7F0C5302C0FA2139F2811068DCEC96DC703C6A999A6E021A9DB7E63D8
16,Singapore,,Crustaceans,swimming crab,Portunus_pelagicus,Secondary consumer,Carnivore,marine,muscle,mean,213.1,ng g,1.35,FALSE,213.1,213.1,213.1,5,Basheer et al (2004),
16,Singapore,,Molluscs,Blood cockle ,Anadara_granosa,Primary consumer,Planktivore,marine,whole body,mean,56.5,ng g,1.35,FALSE,56.5,56.5,56.5,5,Basheer et al (2004),
16,Singapore,,Molluscs,White clam ,Meretrix_meretrix,Primary consumer,Planktivore,marine,whole body,mean,27.4,ng g,1.35,FALSE,27.4,27.4,27.4,5,Basheer et al (2004),
16,Singapore,,Molluscs,Squid,Loligo,Secondary consumer,Carnivore,marine,muscle,mean,118.9,ng g,1.35,FALSE,118.9,118.9,118.9,5,Basheer et al (2004),
16,Singapore,,Fish,Indian Scad,Decapterus_russelli,Secondary consumer,Carnivore,marine,muscle,mean,65.6,ng g,1.35,FALSE,65.6,65.6,65.6,5,Basheer et al (2004),
17,Netherland,,Fish,common bream,Abramis_brama,Secondary consumer,Omnivore,marine,muscle,mean,0.92,ng g,1.1,TRUE,0,0.46,0.650538239,20-25,Vethaak et al (2005),https://www.sciencedirect.com/science/article/pii/S0045653505000639
17,Netherland,,Fish,European flounder,Platichthys_flesus,Secondary consumer,Carnivore,marine,muscle,mean,1.3,ng g,1.1,FALSE,1.3,1.3,1.3,20-25,Vethaak et al (2005),
18,US,Boston Harbors Deer Islan,Plankton,zooplankton,,Primary consumer,Herbivore,marine,whole body,mean,9.18,ng g,0.8,FALSE,9.18,9.18,9.18,,Stuart et al (2005),https://www.sciencedirect.com/science/article/pii/S0021967305004358
18,US,Boston Harbors Deer Islan,Molluscs,hard clam,Mercenaria_mercenaria,Primary consumer,Planktivore,marine,gills,mean,21.95,ng g,0.8,FALSE,21.95,21.95,21.95,3,Stuart et al (2005),
